Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-01-01,99.98,100,92.0,175.09,91.08,2295.04,91.3
2026-01-02,99.98,100,96.58,191.03,96.21,2597.08,95.34
2026-01-03,99.98,100,90.33,196.91,91.49,2478.7,91.68
2026-01-04,99.99,100,89.76,193.13,92.7,2062.18,92.99
2026-01-05,99.98,100,89.8,183.85,90.63,2277.64,91.27
2026-01-06,99.98,100,89.28,196.92,89.34,2544.21,89.12
2026-01-07,99.99,100.0,92.06,194.43,90.33,2399.89,91.95
2026-01-08,99.98,100.0,92.08,203.57,89.31,2195.35,91.96
2026-01-09,99.97,100.0,92.25,194.58,91.53,2488.68,92.4
2026-01-10,99.98,99.96,97.03,191.05,90.34,2681.64,95.2
2026-01-11,99.98,100.0,88.65,189.78,91.01,2022.88,90.62
2026-01-12,99.99,100.0,95.3,194.26,95.66,2708.31,95.69
2026-01-13,99.98,100.0,92.21,199.02,92.26,2758.41,89.58
2026-01-14,99.98,100.0,91.18,200.62,91.16,2314.66,90.05
2026-01-15,99.99,100.0,89.09,194.5,89.7,2429.96,89.66
2026-01-16,99.98,100.0,89.52,191.85,89.6,2785.07,88.99
2026-01-17,99.98,99.98,90.1,191.76,89.47,3448.75,90.27
2026-01-18,99.99,100.0,92.91,180.16,88.67,2061.33,93.12
2026-01-19,99.99,100.0,89.68,208.77,89.63,2214.58,90.55
2026-01-20,99.98,100.0,90.9,193.1,90.96,2086.99,90.16
2026-01-21,99.98,100.0,91.46,200.99,91.4,1854.72,89.47
2026-01-22,99.98,100.0,90.71,188.46,91.13,2114.93,90.32
2026-01-23,99.99,100.0,90.15,182.07,91.27,2681.92,91.22
2026-01-24,99.99,100.0,89.38,169.23,91.09,2086.03,90.93
2026-01-25,99.98,100.0,89.67,179.82,90.51,1785.24,91.75
2026-01-26,99.99,100.0,90.6,179.64,89.55,2009.24,90.57
2026-01-27,99.98,100.0,91.04,208.19,88.72,2214.49,90.93
2026-01-28,99.99,100.0,91.93,172.02,90.29,2876.65,89.83
2026-01-29,100.0,100.0,92.64,179.24,92.71,2163.12,91.39
2026-01-30,100.0,100.0,90.46,173.32,90.93,1951.62,90.87
2026-01-31,100.0,99.98,89.54,170.64,88.87,2378.06,89.49
