Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-12-01,99.98,100,88.17,185.15,88.38,2322.67,88.41
2025-12-02,98.3,100,87.85,182.87,89.85,2841.43,90.31
2025-12-03,99.98,100,88.06,194.69,88.93,2445.46,89.2
2025-12-04,99.97,100,88.1,200.33,87.65,2526.0,88.26
2025-12-05,99.97,99.98,93.12,193.17,86.64,2299.04,87.24
2025-12-06,99.98,99.98,87.42,188.82,89.91,2841.88,87.49
2025-12-07,99.98,100,87.98,190.8,87.42,1987.65,87.93
2025-12-08,99.98,100,88.6,196.49,87.1,2328.94,88.19
2025-12-09,99.98,100,88.25,200.81,89.95,2642.08,90.01
2025-12-10,99.98,99.99,88.08,214.49,89.1,2308.97,89.01
2025-12-11,99.98,99.98,88.95,208.91,88.46,2528.6,88.4
2025-12-12,99.98,100,88.52,216.43,87.79,2644.65,87.3
2025-12-13,99.98,100,88.46,186.85,87.48,2153.06,88.18
2025-12-14,99.98,100,87.48,182.3,87.65,2305.17,87.69
2025-12-15,99.97,100,88.47,193.35,88.57,2595.5,88.49
2025-12-16,99.98,100,88.74,187.64,88.11,2418.87,88.92
2025-12-17,99.98,100,91.04,190.93,88.07,2013.99,91.23
2025-12-18,99.98,100,90.3,195.57,89.78,2328.5,88.44
2025-12-19,99.98,100,89.63,198.56,89.99,2633.6,87.73
2025-12-20,99.98,100,88.82,181.58,89.32,2263.06,87.97
2025-12-21,99.98,100,88.9,178.32,87.81,2311.6,88.98
2025-12-22,99.98,100,90.26,165.58,87.81,2514.48,89.95
2025-12-23,99.98,100,90.08,161.43,88.08,2390.49,90.24
2025-12-24,99.98,100,90.98,163.1,91.11,2199.51,89.39
2025-12-25,99.97,90.26,243.55,183.51,240.33,2288.73,295.11
2025-12-26,99.98,83.4,313.14,206.49,311.34,2370.56,332.06
2025-12-27,99.99,100,89.87,173.22,90.15,2530.97,89.9
2025-12-28,99.98,100,89.11,168.35,90.38,2043.0,90.92
2025-12-29,99.99,100,88.0,175.91,91.25,2210.9,91.03
2025-12-30,99.98,100,90.58,164.48,88.76,2236.34,90.64
2025-12-31,99.99,100,91.78,177.04,88.45,2167.08,91.89
