Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-06-01,99.99,100.0,89.15,158.96,86.45,607.36,88.99
2026-06-02,99.99,100.0,88.46,163.13,87.83,601.15,88.36
2026-06-03,99.97,100.0,89.15,174.7,88.27,639.93,86.25
2026-06-04,99.98,100.0,89.6,162.37,86.87,767.57,89.37
2026-06-05,99.98,100.0,88.48,174.17,86.11,838.3,88.75
2026-06-06,99.99,100.0,87.56,187.4,85.97,825.79,87.51
2026-06-07,99.99,100.0,86.73,171.65,86.89,817.75,85.81
2026-06-08,99.99,100.0,86.91,176.62,86.71,820.07,86.82
2026-06-09,99.99,100.0,88.97,173.75,86.56,833.44,89.01
2026-06-10,99.95,100.0,93.13,186.53,92.25,932.69,93.79
2026-06-11,99.99,100.0,90.95,177.55,89.45,838.09,90.17
2026-06-12,99.99,100.0,88.01,182.6,87.86,884.81,87.3
2026-06-13,99.99,99.97,89.99,161.28,87.1,811.25,88.44
2026-06-15,99.99,100.0,87.99,174.76,87.25,868.81,87.68
2026-06-16,99.99,100.0,87.88,186.11,87.09,858.26,87.61
2026-06-17,99.99,100.0,87.95,213.89,86.89,857.69,87.18
2026-06-18,99.99,100.0,89.3,165.47,87.07,842.12,88.92
2026-06-19,99.98,99.99,87.25,168.01,87.8,854.82,88.43
2026-06-20,99.99,100.0,86.96,165.49,86.84,819.77,87.47
2026-06-21,99.99,100.0,87.94,168.0,87.61,837.19,89.67
2026-06-22,99.99,100.0,89.31,165.42,86.54,834.56,89.1
2026-06-23,99.99,99.97,87.77,157.05,87.2,976.72,87.81
2026-06-24,99.99,100.0,88.0,179.71,87.93,874.02,86.71
2026-06-25,99.99,100.0,87.57,162.65,87.69,1013.49,87.28
2026-06-26,99.63,99.99,90.15,150.74,89.67,874.01,87.02
2026-06-27,99.99,100.0,88.93,172.12,88.86,1166.1,87.81
2026-06-28,99.99,100.0,88.44,185.35,85.79,854.16,88.61
2026-06-29,99.99,100.0,86.86,158.8,88.31,1030.46,89.02
2026-06-30,99.99,100.0,88.66,152.94,86.15,860.32,88.84
