Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-10-01,99.98,100,90.92,249.32,91.01,2885.88,91.4
2025-10-02,99.98,100,91.68,256.74,91.69,2227.74,91.5
2025-10-03,99.97,100,90.26,682.31,90.35,2533.33,91.26
2025-10-04,99.98,100,90.73,248.97,91.15,2002.15,89.84
2025-10-05,99.97,100,90.54,272.63,91.04,2161.2,89.94
2025-10-06,99.98,100,90.62,241.21,90.24,3485.38,89.95
2025-10-07,99.97,100,90.61,248.29,90.18,2479.86,89.77
2025-10-08,99.97,100,90.15,268.05,90.07,2481.11,89.71
2025-10-09,99.97,100,91.97,274.54,91.41,1997.83,91.67
2025-10-10,99.92,100,91.62,265.44,90.42,2241.65,90.54
2025-10-11,99.98,100,96.27,274.97,91.98,2453.26,91.66
2025-10-12,99.98,100,89.99,256.21,89.13,2239.84,89.8
2025-10-13,99.97,100,89.72,257.71,89.39,2441.73,89.77
2025-10-14,99.97,100,89.26,261.59,89.19,2980.66,88.85
2025-10-15,99.97,100,89.16,258.66,89.85,2150.9,89.36
2025-10-16,99.98,100,91.17,271.09,90.1,2666.25,88.91
2025-10-17,99.98,100,89.19,270.22,89.31,3246.67,88.82
2025-10-18,99.97,100,88.05,247.31,88.46,1938.42,88.05
2025-10-19,99.98,100,90.37,269.18,91.3,2087.5,88.67
2025-10-20,99.96,100,89.28,243.3,89.34,2321.54,89.28
2025-10-21,99.98,100,89.13,268.62,91.31,2375.84,91.23
2025-10-22,99.98,100,88.99,254.37,89.46,2671.95,89.79
2025-10-23,99.97,100,87.63,256.35,87.43,2566.22,87.58
2025-10-24,99.98,100,87.7,254.42,87.84,2390.96,88.89
2025-10-25,99.98,100,88.01,242.15,89.52,2646.53,89.96
2025-10-26,99.98,100,89.43,261.71,90.25,2540.11,90.83
2025-10-27,99.98,100,89.14,246.88,89.16,2387.35,89.95
2025-10-28,99.98,100,90.89,248.68,90.77,2612.42,91.84
2025-10-29,99.98,100,89.95,239.23,90.59,2523.27,90.65
2025-10-30,99.98,100,91.24,234.48,91.49,2618.07,89.67
2025-10-31,99.98,100,90.49,234.53,95.5,2765.3,89.56
