Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-02-01,99.99,100,89.89,367.14,89.19,2684.86,90.05
2025-02-02,99.99,100,87.51,385.18,84.59,2183.46,87.65
2025-02-03,99.99,100,89.11,369.76,88.64,3004.31,90.14
2025-02-04,99.99,100,88.88,378.63,88.91,2765.97,88.65
2025-02-05,99.99,100,90.33,361.15,89.5,2013.12,90.5
2025-02-06,99.98,100,103.55,448.03,104.12,2787.12,103.52
2025-02-07,99.99,100,111.81,488.31,112.0,1906.6,111.62
2025-02-08,99.99,100,108.99,490.56,108.63,2676.88,109.4
2025-02-09,99.99,100,110.57,507.65,107.85,2204.28,111.07
2025-02-10,99.98,100,110.38,498.59,108.96,2585.94,110.86
2025-02-11,99.99,100,107.99,513.12,106.95,3395.67,107.86
2025-02-12,99.98,100,95.97,411.2,95.34,1982.78,97.97
2025-02-13,99.98,100,86.74,390.96,86.42,2920.3,86.28
2025-02-14,99.99,100,88.74,363.32,90.12,2199.41,89.0
2025-02-15,99.99,100,85.8,350.51,86.48,2024.93,87.46
2025-02-16,99.98,100,87.73,393.97,87.33,2382.64,87.31
2025-02-17,99.99,100,86.76,362.72,86.33,1862.72,88.73
2025-02-18,99.99,100,92.61,386.41,91.09,1979.93,91.9
2025-02-19,99.98,100,85.94,373.65,85.45,2116.87,86.79
2025-02-20,99.92,100,86.57,382.12,85.72,2106.74,86.28
2025-02-21,99.92,100,91.8,375.9,91.16,2432.39,91.39
2025-02-22,99.89,100,88.97,378.36,88.02,2241.25,89.82
2025-02-23,99.88,100,92.45,376.08,91.55,2080.69,92.15
2025-02-24,99.8,100,88.8,366.85,88.38,2471.69,88.81
2025-02-25,99.51,100,85.81,381.78,85.41,3111.72,85.47
2025-02-26,99.42,100,90.72,336.25,89.89,1936.88,90.79
2025-02-27,99.99,100,85.97,341.55,85.66,2543.12,86.09
2025-02-28,99.99,100,84.78,342.38,83.78,2281.88,85.54
