Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2024-12-02,99.98,-3487,88.31,353.11,91.99,2932.25,92.05
2024-12-03,99.98,100,89.27,362.07,89.93,2898.0,89.32
2024-12-04,99.98,100,89.2,352.03,88.16,2228.36,89.0
2024-12-05,99.98,100,91.05,326.34,88.02,2330.66,90.4
2024-12-06,99.99,100,89.37,352.12,90.3,2610.93,91.13
2024-12-07,99.98,100,93.95,344.84,93.3,2200.9,95.78
2024-12-08,99.99,100,88.52,360.91,87.46,2212.56,88.77
2024-12-09,99.98,100,92.36,358.73,91.99,2282.48,91.17
2024-12-10,99.98,100,96.74,358.5,92.37,3256.24,92.72
2024-12-11,99.99,100,93.61,396.73,94.66,2925.72,94.67
2024-12-12,99.99,100,87.78,351.86,88.18,2456.21,88.02
2024-12-13,99.98,100,90.65,358.03,90.95,2890.71,90.79
2024-12-14,99.99,100,95.93,371.46,94.03,2842.06,97.28
2024-12-15,99.98,100,94.14,372.23,95.34,2412.0,94.25
2024-12-16,99.85,100,87.97,373.87,89.55,2573.27,89.34
2024-12-17,99.99,100,88.27,348.67,89.58,3021.67,86.6
2024-12-18,99.99,100,89.85,351.66,88.94,2285.66,90.53
2024-12-19,99.99,100,90.37,341.72,89.63,2434.65,89.35
2024-12-20,99.98,100,129.63,352.76,107.81,2406.04,120.61
2024-12-21,99.99,100,88.82,322.42,90.61,2513.33,91.03
2024-12-22,99.99,100,90.79,328.31,90.34,2359.46,91.0
2024-12-23,99.98,100,93.33,286.26,91.94,2560.35,91.76
2024-12-24,99.99,100,90.33,258.16,91.71,2494.49,91.17
2024-12-25,99.99,100,89.76,271.42,91.66,2255.87,91.2
2024-12-26,99.99,100,89.19,287.16,89.55,2328.36,88.84
2024-12-27,99.99,100,89.55,282.94,90.45,2733.44,89.51
2024-12-28,99.99,100,90.31,302.53,89.31,2300.83,93.65
2024-12-29,99.98,100,92.73,325.95,93.39,2681.38,92.4
2024-12-30,99.99,100,92.95,303.77,92.64,2257.36,92.7
2024-12-31,99.99,100,90.38,296.66,91.43,2403.57,91.11
