Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2024-11-01,99.98,100,84.86,332.33,84.08,2812.03,83.69
2024-11-02,99.98,100,89.91,308.7,89.28,2471.47,89.64
2024-11-03,99.99,100,85.29,343.78,84.71,2246.05,84.31
2024-11-04,99.99,100,89.95,326.68,87.97,2572.38,88.25
2024-11-05,99.99,100,85.4,304.12,85.43,2570.88,86.3
2024-11-06,99.99,100,86.84,340.24,86.82,2392.06,86.94
2024-11-07,99.99,-3041,83.46,344.61,82.94,2871.6,84.6
