Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-04-01,97.88,100,83.12,806.17,83.05,2921.66,83.81
2025-04-02,99.99,100,86.01,758.53,85.75,2890.03,86.83
2025-04-03,99.99,100,88.24,835.76,87.49,2900.43,88.75
2025-04-04,99.99,100,86.68,946.73,86.91,2938.2,85.27
2025-04-05,99.98,100,91.99,687.97,91.75,2870.48,89.78
2025-04-06,99.99,100,86.69,608.83,85.78,2861.96,85.94
2025-04-07,99.99,100,95.3,771.54,94.76,2979.27,95.35
2025-04-08,99.99,100,94.52,778.58,98.05,2875.44,97.71
2025-04-09,99.99,100,87.08,764.56,87.67,2871.35,86.89
2025-04-10,99.99,100,90.1,718.0,89.65,2873.79,89.35
2025-04-11,99.98,100,88.53,696.9,94.81,2875.55,88.46
2025-04-12,99.99,100,89.58,639.41,91.44,2831.23,90.92
2025-04-13,99.99,100,85.68,572.79,85.84,2809.14,86.59
2025-04-14,99.99,100,88.76,682.55,89.89,2857.1,89.77
2025-04-15,99.92,100,88.72,693.85,87.88,3091.84,88.87
2025-04-16,99.99,100,92.98,402.75,92.61,2696.61,92.38
2025-04-17,99.99,100,92.93,340.89,91.74,1916.31,91.64
2025-04-18,99.98,100,93.41,334.69,92.72,2226.57,92.9
2025-04-19,99.99,100,92.97,327.37,92.44,2197.08,92.49
2025-04-20,99.98,100,94.05,326.76,93.17,2920.83,100.93
2025-04-21,99.99,100,92.76,338.44,93.19,1965.21,93.3
2025-04-22,99.98,100,92.88,327.38,93.59,2110.95,93.25
2025-04-23,99.99,100,93.29,339.51,93.14,2179.93,92.89
2025-04-24,99.99,100,100.61,349.27,100.81,2014.93,99.9
2025-04-25,99.98,100,110.85,379.34,110.98,2470.21,110.27
2025-04-26,99.99,100,103.32,367.88,102.9,1695.83,103.09
2025-04-27,99.99,100,103.29,343.22,102.59,1990.9,102.8
2025-04-28,99.99,100,98.05,323.36,98.37,2491.64,98.27
2025-04-29,99.98,100,92.29,314.5,92.1,2396.93,92.58
2025-04-30,99.99,100,93.34,309.4,94.06,1955.52,92.64
