Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-08-01,99.97,100,93.69,253.99,92.9,3219.89,93.55
2025-08-02,99.98,100,93.47,255.42,93.49,2287.61,95.61
2025-08-03,99.98,100,93.5,269.18,93.58,1934.31,93.18
2025-08-04,99.98,100,93.85,257.26,93.41,2187.11,92.92
2025-08-05,99.98,100,93.9,239.45,93.44,2278.33,94.11
2025-08-06,99.98,100,92.75,267.75,94.03,1930.69,93.43
2025-08-07,99.98,100,92.83,268.66,94.29,2592.43,94.74
2025-08-08,99.99,100,92.45,251.6,93.03,2106.3,93.58
2025-08-09,99.94,100,96.12,248.59,95.31,2522.29,93.35
2025-08-10,99.99,100,92.36,260.53,93.2,2401.6,93.28
2025-08-11,99.98,100,94.36,261.27,93.6,2315.99,93.41
2025-08-12,99.98,100,93.95,253.27,94.49,2484.21,94.15
2025-08-13,99.99,100,96.66,262.34,96.51,2720.42,95.77
2025-08-14,99.98,100,96.75,236.3,95.46,2572.81,97.97
2025-08-15,99.98,100,94.11,251.22,92.58,2085.83,94.22
2025-08-16,99.98,100,98.71,249.14,93.66,2401.25,94.52
2025-08-17,99.98,100,95.04,261.1,96.35,1880.51,97.18
2025-08-18,99.98,100,95.63,262.28,93.32,2245.12,95.1
2025-08-19,99.98,100,94.78,264.25,93.33,2224.13,94.63
2025-08-20,99.98,100,94.63,255.68,92.82,2656.38,95.0
2025-08-21,99.97,100,96.14,271.23,95.3,2198.05,95.9
2025-08-22,99.98,100,94.7,272.72,94.65,2092.62,95.24
2025-08-23,99.98,100,94.21,266.21,93.71,2155.42,94.26
2025-08-24,99.97,100,92.94,282.38,93.37,1954.19,93.8
2025-08-25,99.99,100,93.28,270.71,93.31,2057.32,93.07
2025-08-26,99.98,100,94.07,274.79,94.7,1909.28,96.36
2025-08-27,99.97,100,93.49,269.59,95.19,2169.86,93.81
2025-08-28,99.98,100,99.04,263.66,97.2,2324.3,98.94
2025-08-29,99.99,100,105.26,268.76,101.91,2318.98,104.49
2025-08-30,99.98,100,114.76,250.81,114.84,1894.78,115.15
2025-08-31,99.99,100,96.43,276.25,95.46,1935.69,96.96
