Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-04-01,99.99,100.0,87.61,185.12,87.36,1635.83,86.72
2026-04-02,99.99,100.0,89.85,172.47,87.69,1957.14,89.59
2026-04-03,99.99,100.0,90.27,217.65,86.72,1874.85,90.02
2026-04-04,99.99,100.0,87.47,184.8,87.07,2166.5,87.4
2026-04-05,99.99,100.0,87.29,176.5,86.89,2223.04,87.45
2026-04-06,99.99,100.0,86.93,182.19,88.2,2051.82,88.27
2026-04-07,99.99,100.0,87.47,158.56,89.48,2477.36,89.61
2026-04-08,99.99,100.0,89.25,185.95,88.98,2816.32,87.58
2026-04-09,99.99,100.0,88.27,187.11,88.07,2087.9,87.26
2026-04-10,99.99,100.0,89.94,184.11,90.08,2686.96,87.86
2026-04-11,99.99,100.0,90.89,175.55,89.31,2129.92,91.33
2026-04-12,99.99,100.0,89.73,165.93,87.56,1800.58,89.79
2026-04-13,99.99,100.0,89.54,174.49,88.09,2261.07,89.5
2026-04-14,99.99,100.0,88.84,173.66,89.14,2195.48,88.16
2026-04-15,99.98,100.0,89.25,170.66,89.39,2139.4,88.4
2026-04-16,99.99,100.0,90.15,171.58,90.25,2203.75,87.45
2026-04-17,99.99,100.0,90.36,179.33,91.57,2092.39,91.9
2026-04-18,99.99,100.0,88.93,164.99,89.6,2027.63,89.58
2026-04-19,99.99,100.0,89.76,196.33,92.68,1650.0,92.71
2026-04-20,99.99,100.0,88.22,161.54,90.74,1528.18,91.09
2026-04-21,99.99,99.97,90.13,171.25,88.51,1713.26,92.29
2026-04-22,99.99,99.99,92.76,217.21,90.51,1995.49,88.69
2026-04-23,99.98,100.0,88.21,185.86,88.24,1935.62,87.93
2026-04-24,99.99,100.0,87.82,229.73,87.66,2549.68,88.17
2026-04-25,99.99,100.0,87.86,164.25,88.0,2019.24,87.79
2026-04-26,99.99,100.0,87.71,186.6,87.38,1997.94,87.91
2026-04-27,99.98,100.0,87.98,167.69,87.88,2772.99,88.61
2026-04-28,99.99,100.0,88.72,156.47,87.48,2385.58,89.36
2026-04-29,99.99,100.0,90.53,161.49,86.72,2299.94,87.93
2026-04-30,99.99,100.0,87.82,168.45,88.58,2349.72,89.31
