Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-06-01,99.99,100,104.65,338.38,104.24,2066.81,104.6
2025-06-02,99.98,100,105.68,446.94,103.97,2321.28,104.56
2025-06-03,99.98,100,105.54,342.7,104.18,2415.89,105.52
2025-06-04,99.99,100,104.45,372.6,104.82,2107.22,104.71
2025-06-05,99.98,100,105.53,326.57,103.73,2044.93,103.49
2025-06-06,99.98,100,104.07,346.04,104.58,2648.09,104.21
2025-06-07,99.98,100,106.31,330.48,108.98,2290.42,110.17
2025-06-08,99.99,100,104.12,338.43,104.35,2059.44,105.2
2025-06-09,99.98,100,104.17,332.23,103.68,1724.44,104.92
2025-06-10,99.98,100,103.08,373.16,105.59,1761.11,105.52
2025-06-11,99.98,100,105.35,361.55,105.64,2515.1,104.45
2025-06-12,99.98,100,102.35,373.42,99.91,3078.95,101.89
2025-06-13,99.98,100,96.17,345.93,96.46,2404.31,97.24
2025-06-14,99.99,100,96.4,355.19,96.41,2759.44,99.37
2025-06-15,99.98,100,97.58,359.29,96.66,2106.11,96.81
2025-06-16,99.98,100,94.52,348.16,94.14,2326.09,94.66
2025-06-17,99.99,100,92.57,360.83,91.18,2302.22,92.62
2025-06-18,99.99,100,93.22,351.77,92.99,2677.99,93.17
2025-06-19,99.98,100,94.85,342.57,96.04,2469.79,93.75
2025-06-20,99.98,100,92.59,353.16,92.87,2361.81,92.36
2025-06-21,99.98,100,93.15,332.19,92.3,2162.29,92.14
2025-06-22,99.98,100,92.43,350.26,92.84,1709.79,92.3
2025-06-23,99.99,100,97.51,349.58,97.77,2085.9,95.35
2025-06-24,99.98,100,93.72,348.53,92.9,1967.89,93.09
2025-06-25,99.99,100,97.37,331.07,97.64,2163.54,97.59
2025-06-26,99.98,100,103.14,313.07,103.75,2160.98,102.74
2025-06-27,99.98,100,105.87,338.09,103.48,2621.13,106.35
2025-06-28,99.98,100,105.27,309.41,102.06,1622.5,104.73
2025-06-29,99.98,100,102.87,320.32,104.83,1877.58,104.74
2025-06-30,99.99,100,103.21,325.02,104.06,2397.38,103.16
