Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-05-01,99.99,99.98,88.89,158.03,92.57,2230.14,87.52
2026-05-02,99.98,100.0,89.25,169.2,87.4,2425.21,88.12
2026-05-03,99.99,100.0,87.66,159.17,88.08,2139.72,87.56
2026-05-04,99.99,100.0,93.07,170.89,93.02,2808.27,90.59
2026-05-05,99.98,100.0,92.05,164.38,92.2,2149.44,92.37
2026-05-06,99.99,100.0,88.24,173.56,88.36,2166.46,88.16
2026-05-07,99.98,100.0,90.06,175.44,89.86,2122.62,88.61
2026-05-08,99.92,99.98,91.8,170.96,94.09,2514.44,89.69
2026-05-09,99.99,100.0,87.87,166.89,87.23,2373.75,87.35
2026-05-10,99.98,100.0,88.65,167.35,89.02,2308.58,87.32
2026-05-11,99.98,100.0,86.7,159.61,87.28,1681.72,87.03
2026-05-12,99.99,100.0,85.67,171.88,85.6,711.42,86.04
2026-05-13,99.99,99.99,86.83,171.33,87.15,570.73,87.01
2026-05-14,99.99,100.0,89.8,159.82,90.27,604.02,90.01
2026-05-15,99.99,100.0,144.72,164.86,143.62,605.81,146.01
2026-05-16,99.98,99.96,90.87,169.91,91.54,553.45,85.93
2026-05-17,99.98,100.0,85.23,162.83,84.8,614.79,85.48
2026-05-18,99.99,100.0,86.52,163.84,85.35,602.89,86.71
2026-05-19,99.99,100.0,85.52,178.27,84.63,594.76,86.6
2026-05-20,99.99,100.0,88.11,165.42,88.9,652.38,88.91
2026-05-21,99.99,100.0,87.46,161.06,87.84,625.58,87.67
2026-05-22,99.99,100.0,90.1,158.68,89.91,621.11,88.62
2026-05-23,99.98,100.0,88.04,155.84,87.91,575.6,85.45
2026-05-24,99.98,100.0,85.8,153.21,86.58,627.87,87.09
2026-05-25,99.99,100.0,85.66,151.46,85.55,611.91,86.64
2026-05-26,99.99,100.0,86.42,158.09,85.25,628.2,86.27
2026-05-27,99.99,100.0,86.76,159.12,85.49,583.33,86.81
2026-05-28,99.99,100.0,87.8,160.32,86.7,592.27,89.2
2026-05-29,99.99,99.98,86.55,164.35,86.32,684.88,86.45
2026-05-30,99.99,100.0,86.9,160.02,86.89,575.75,87.15
2026-05-31,99.99,100.0,87.92,148.79,86.16,564.98,88.11
