Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-02-01,100.0,100.0,89.83,171.93,89.42,1936.92,89.79
2026-02-02,99.99,100.0,90.18,182.96,89.86,2632.17,89.87
2026-02-03,100.0,100.0,90.01,177.49,90.31,2466.24,90.3
2026-02-04,99.99,100.0,90.58,185.81,89.91,2280.9,90.19
2026-02-05,99.98,100.0,89.53,182.58,89.29,1967.15,89.75
2026-02-06,99.99,99.98,89.85,200.72,90.13,2908.88,89.52
2026-02-07,99.98,100.0,89.18,192.35,88.9,2012.85,89.52
2026-02-08,99.98,100.0,90.18,188.9,90.23,2253.75,91.48
2026-02-09,99.99,100.0,92.47,191.94,91.98,2010.78,93.53
2026-02-10,99.98,100.0,91.08,189.44,89.61,1974.38,91.04
2026-02-11,99.99,100.0,91.58,193.92,90.01,2141.93,91.86
2026-02-12,99.99,100.0,91.62,196.79,88.54,3502.66,91.22
2026-02-13,99.99,100.0,90.5,187.22,90.64,2595.78,90.87
2026-02-14,99.99,100.0,89.9,183.88,91.25,2869.74,91.72
2026-02-15,99.99,100.0,90.87,170.6,92.69,2320.04,91.38
2026-02-16,99.99,100.0,92.17,180.93,91.96,2636.46,90.43
2026-02-17,99.99,100.0,92.01,172.85,92.38,2575.69,90.14
2026-02-18,99.41,100.0,90.27,175.75,88.82,2663.29,89.53
2026-02-19,99.99,100.0,91.57,201.21,90.34,2519.97,90.54
2026-02-20,99.99,100.0,89.01,164.23,89.73,2556.92,89.36
2026-02-21,99.99,100.0,90.26,165.77,89.84,2642.53,90.34
2026-02-22,99.99,100.0,89.84,155.27,91.63,2576.74,91.6
2026-02-23,99.99,100.0,89.87,169.2,91.27,3008.36,91.79
2026-02-24,99.99,100.0,89.69,163.12,91.6,2362.56,92.26
2026-02-25,99.99,100.0,91.73,152.09,90.23,2473.59,91.71
2026-02-26,99.99,99.98,91.31,158.12,90.17,2578.65,90.87
2026-02-27,99.99,100.0,93.45,156.23,91.98,2424.62,93.67
2026-02-28,99.98,100.0,91.98,162.2,90.24,2215.57,90.95
