Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-01-01,99.99,100,95.91,352.2,94.24,2464.79,94.1
2025-01-02,99.96,100,93.18,334.6,91.89,2612.38,91.21
2025-01-03,99.99,100,89.17,332.71,87.86,2390.1,89.98
2025-01-04,99.99,100,92.92,356.75,92.04,2066.25,92.15
2025-01-05,99.99,100,91.58,376.32,93.09,2167.71,93.51
2025-01-06,99.99,100,97.6,382.03,95.57,2613.75,97.62
2025-01-07,99.98,100,93.67,375.57,92.39,2762.1,92.0
2025-01-08,99.99,100,92.68,378.53,91.88,2623.96,93.68
2025-01-09,99.98,100,94.86,384.69,95.01,3026.43,94.61
2025-01-10,99.98,100,90.08,386.2,91.15,2904.66,90.73
2025-01-11,99.99,100,93.65,372.54,93.75,2094.58,94.0
2025-01-12,99.99,100,90.86,373.07,92.24,2156.08,91.34
2025-01-13,99.99,100,92.38,365.99,91.96,2497.15,92.31
2025-01-14,99.99,100,90.1,379.02,89.01,2755.88,89.9
2025-01-15,99.99,100,86.9,365.39,87.26,2776.61,88.76
2025-01-16,99.99,100,91.9,377.83,91.91,2376.53,93.0
2025-01-17,99.99,100,88.19,370.63,88.68,2567.92,89.08
2025-01-18,99.99,100,89.41,370.86,89.04,2714.25,87.16
2025-01-19,99.99,100,89.49,415.2,92.01,2330.81,92.39
2025-01-20,99.99,100,88.13,375.75,87.34,2320.5,87.0
2025-01-21,99.98,100,90.4,369.79,89.62,3043.83,89.56
2025-01-22,99.99,100,91.49,397.17,87.96,2807.88,91.21
2025-01-23,99.99,100,88.27,379.08,87.95,2280.1,89.36
2025-01-24,99.99,100,91.04,375.84,89.56,2573.92,90.9
2025-01-25,99.99,100,91.25,374.51,91.94,2047.13,91.06
2025-01-26,99.99,100,87.94,398.69,86.31,1884.44,86.69
2025-01-27,99.99,100,88.43,374.78,87.46,2415.07,88.38
2025-01-28,99.98,100,89.24,371.73,89.04,2458.07,90.29
2025-01-29,99.98,100,87.77,358.73,87.52,2410.53,87.74
2025-01-30,99.99,100,90.34,352.89,91.58,2559.53,89.97
2025-01-31,99.99,100,89.62,355.06,89.81,2587.5,88.79
