Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-11-01,99.98,100,87.9,242.94,87.36,2184.24,87.69
2025-11-02,99.97,100,88.77,263.96,88.66,2006.78,89.61
2025-11-03,99.98,100,88.6,244.22,89.53,2520.99,90.42
2025-11-04,99.97,100,89.1,237.55,88.46,1906.69,88.01
2025-11-05,99.98,100,88.7,239.22,91.07,2461.85,90.92
2025-11-06,99.98,100,86.79,244.67,88.07,2891.84,87.96
2025-11-07,99.98,100,90.14,243.75,87.91,2450.28,90.21
2025-11-08,99.97,100,89.33,246.04,92.78,2164.93,90.71
2025-11-09,99.98,100,88.67,240.49,88.59,2139.38,87.73
2025-11-10,99.97,100,89.58,235.08,88.01,2461.38,89.1
2025-11-11,99.97,100,88.64,252.7,88.23,1873.26,89.95
2025-11-12,99.98,100,85.31,239.33,89.11,2274.54,89.39
2025-11-13,99.98,100,89.13,250.78,89.23,2371.74,89.59
2025-11-14,99.98,100,88.02,205.29,88.54,1869.76,88.44
2025-11-15,94.0,100,88.66,197.39,88.61,2637.31,87.01
2025-11-16,99.97,100,87.46,208.9,87.71,1932.52,86.65
2025-11-17,99.97,100,86.13,203.0,86.61,2780.14,86.67
2025-11-18,99.97,100,85.86,198.24,86.35,2465.65,85.79
2025-11-19,99.98,100,88.8,217.86,88.5,2390.43,87.09
2025-11-20,99.98,100,86.47,200.66,86.68,2627.0,86.79
2025-11-21,99.98,100,87.06,193.45,86.23,2494.5,86.27
2025-11-22,99.97,100,87.48,179.48,87.14,2419.83,86.91
2025-11-23,99.98,100,88.76,186.1,86.96,1959.49,88.79
2025-11-24,99.98,100,88.09,197.13,87.37,2303.17,88.6
2025-11-25,99.98,100,89.51,221.52,87.2,2581.94,89.04
2025-11-26,99.98,100,88.04,188.31,87.91,2234.49,88.26
2025-11-27,99.98,100,87.91,184.33,86.95,2039.83,87.91
2025-11-28,99.98,100,87.98,177.57,89.53,2409.14,89.23
2025-11-29,99.98,100,87.26,176.86,88.75,2146.25,88.87
2025-11-30,99.98,100,87.92,176.61,87.54,1925.24,88.5
