Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-03-01,99.99,100,85.88,343.43,85.1,2761.88,84.32
2025-03-02,99.99,100,87.53,366.31,88.41,2065.49,86.77
2025-03-03,99.99,100,87.58,362.48,88.05,2372.12,88.08
2025-03-04,99.98,100,87.58,362.49,88.42,2394.11,88.64
2025-03-05,99.99,100,88.41,338.88,87.84,2104.99,89.31
2025-03-06,99.99,100,89.51,372.22,90.1,1943.39,90.28
2025-03-07,99.98,100,93.19,357.27,92.07,2290.65,92.54
2025-03-08,99.98,100,85.65,365.84,86.61,2095.28,85.78
2025-03-09,99.98,100,87.55,379.48,85.96,2067.22,88.33
2025-03-10,99.98,100,87.24,371.53,86.28,1992.71,86.61
2025-03-11,99.98,100,87.0,359.82,86.11,2031.07,86.91
2025-03-12,99.98,100,84.91,384.37,84.54,2554.87,84.58
2025-03-13,99.98,100,83.07,392.31,83.24,2363.44,83.78
2025-03-14,99.94,100,85.4,398.73,84.02,2544.54,85.3
2025-03-15,99.98,100,82.48,370.53,82.25,2251.57,83.15
2025-03-16,99.98,100,83.48,382.28,82.86,1944.1,83.37
2025-03-17,99.99,100,84.43,381.97,83.15,1853.0,83.3
2025-03-18,99.98,100,83.59,406.97,83.11,2206.1,84.77
2025-03-19,99.99,100,84.37,485.67,82.93,2495.61,84.68
2025-03-20,99.99,100,89.17,511.97,89.27,2414.68,89.33
2025-03-21,99.99,100,90.45,541.76,89.94,2637.38,89.76
2025-03-22,99.99,100,83.51,520.43,82.65,2615.62,84.47
2025-03-23,99.99,100,82.97,503.57,82.03,2684.07,84.14
2025-03-24,99.99,100,83.08,586.33,82.07,2694.79,83.61
2025-03-25,99.99,100,83.26,583.91,81.36,2801.77,85.44
2025-03-26,99.99,100,83.96,619.98,82.45,2765.07,84.1
2025-03-27,99.99,100,87.0,616.37,82.23,2827.34,83.26
2025-03-28,99.99,100,83.6,669.95,83.62,2892.45,83.36
2025-03-29,99.99,100,84.54,575.38,83.17,2809.55,84.51
2025-03-30,99.99,100,83.49,529.4,85.08,2812.83,83.86
2025-03-31,99.99,100,83.12,701.08,83.31,2807.21,82.69
