Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-05-01,99.98,100,92.49,321.11,93.09,1824.65,92.51
2025-05-02,99.98,100,94.73,292.59,94.48,1829.64,92.79
2025-05-03,99.99,100,92.08,304.67,92.42,1683.26,91.8
2025-05-04,99.99,100,94.01,319.52,92.78,2260.21,93.72
2025-05-05,99.99,100,93.15,303.66,92.19,2408.99,93.2
2025-05-06,99.99,100,94.63,313.84,93.23,2161.58,94.34
2025-05-07,99.98,100,92.97,329.24,93.11,2366.94,93.14
2025-05-08,99.99,100,94.42,326.71,94.19,1961.7,93.59
2025-05-09,99.99,100,94.42,335.45,93.84,2031.39,93.34
2025-05-10,99.98,100,94.56,309.26,93.81,2277.71,92.71
2025-05-11,99.99,100,93.47,346.14,94.41,1952.71,93.22
2025-05-12,99.98,100,94.17,341.71,94.94,2808.43,94.08
2025-05-13,99.99,100,95.64,336.05,95.8,2191.6,93.31
2025-05-14,99.98,100,94.29,358.84,94.0,3190.77,92.56
2025-05-15,99.98,100,93.94,342.0,93.13,2481.98,93.23
2025-05-16,99.98,100,92.37,346.24,92.83,2491.87,92.61
2025-05-17,99.98,100,93.18,342.23,93.86,2061.39,93.86
2025-05-18,99.94,100,93.77,352.87,93.69,1910.07,94.37
2025-05-19,99.67,100,92.89,313.5,92.24,2259.79,91.78
2025-05-20,99.98,100,92.33,358.18,92.12,2240.89,92.19
2025-05-21,99.99,100,92.83,373.04,92.06,2254.52,92.52
2025-05-22,99.98,100,92.26,340.69,91.67,2051.53,97.39
2025-05-23,99.98,100,96.47,334.09,95.42,2123.9,96.28
2025-05-24,99.98,100,92.09,339.09,91.5,2634.58,97.06
2025-05-25,99.99,100,92.43,353.82,92.36,1839.93,93.09
2025-05-26,99.99,100,97.25,342.48,96.83,1966.25,96.88
2025-05-27,99.99,100,103.54,341.76,102.53,1896.81,103.85
2025-05-28,99.98,100,105.21,307.9,109.56,2257.71,104.92
2025-05-29,99.98,100,106.6,304.17,106.8,1909.72,107.03
2025-05-30,99.98,100,106.34,291.05,105.68,2250.28,104.71
2025-05-31,99.99,100,106.06,295.99,103.79,2348.06,106.28
