Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2026-03-01,99.99,100.0,92.04,151.91,90.07,3120.02,92.46
2026-03-02,99.99,100.0,91.72,161.43,89.65,3676.37,91.56
2026-03-03,99.99,100.0,90.61,169.33,91.76,3026.37,91.71
2026-03-04,99.99,100.0,90.06,173.35,91.49,2502.34,91.76
2026-03-05,99.99,100.0,91.46,204.84,91.18,2578.33,92.25
2026-03-06,99.99,99.94,89.13,180.74,92.24,2596.25,91.48
2026-03-07,99.99,100.0,91.48,173.42,90.82,2454.24,91.38
2026-03-08,99.99,100.0,89.94,162.45,91.46,2295.39,91.5
2026-03-09,99.99,99.98,90.1,175.27,96.68,2884.56,91.34
2026-03-10,99.99,100.0,88.01,166.33,87.39,3414.27,87.85
2026-03-11,99.99,100.0,87.85,167.68,87.94,2690.92,88.59
2026-03-12,99.99,100.0,90.47,166.66,87.09,2376.92,90.51
2026-03-13,99.91,99.92,92.35,168.81,90.18,2800.2,91.6
2026-03-14,99.99,100.0,89.73,168.62,89.72,2829.17,88.27
2026-03-15,99.99,100.0,90.11,172.62,89.56,2428.94,89.82
2026-03-16,99.99,100.0,87.3,175.4,87.5,2570.8,88.24
2026-03-17,99.34,100.0,89.41,173.08,89.92,2898.89,89.09
2026-03-18,99.06,100.0,88.95,168.06,88.97,3115.42,88.61
2026-03-19,99.98,100.0,89.62,167.88,87.98,2246.04,89.13
2026-03-20,99.99,99.91,90.43,182.42,87.19,3006.57,90.47
2026-03-21,99.99,100.0,89.66,154.17,87.62,2467.71,89.92
2026-03-22,99.99,100.0,90.63,158.47,87.64,2064.44,90.42
2026-03-23,99.99,100.0,90.36,177.65,90.43,2363.54,91.76
2026-03-24,99.99,100.0,89.43,172.33,87.25,3060.32,89.38
2026-03-25,99.99,100.0,91.09,161.29,88.93,2427.63,91.17
2026-03-26,99.99,100.0,89.71,165.97,88.68,2746.7,88.17
2026-03-27,99.99,100.0,88.54,149.68,88.12,2394.65,88.94
2026-03-28,99.99,99.99,93.88,156.35,87.39,2073.7,88.08
2026-03-29,99.99,100.0,87.89,157.79,87.56,2404.48,87.3
2026-03-30,99.98,100.0,87.91,170.11,87.92,2320.43,87.6
2026-03-31,99.99,100.0,87.85,209.22,87.21,2188.89,87.39
