Date,Uptime Lydia App %,Uptime TPP interface %,PISP Response (millsec.),Payment Response in Lydia App (millsec.),AISP Response (millsec.),Account balance Response in Lydia App (millsec.),CBPII Response (millsec.)
2025-09-01,99.98,100,93.9,304.74,93.42,2555.63,94.5
2025-09-02,99.99,100,93.66,277.93,93.29,2524.86,94.33
2025-09-03,99.98,100,94.71,290.08,95.12,2267.14,94.81
2025-09-04,99.98,100,95.2,296.02,95.55,2364.03,95.28
2025-09-05,99.98,100,93.49,268.37,93.88,2369.58,93.14
2025-09-06,99.98,100,92.98,343.66,93.44,1857.71,94.08
2025-09-07,99.97,100,93.05,286.46,95.17,2019.76,94.73
2025-09-08,99.98,100,94.78,307.34,93.7,2526.85,94.76
2025-09-09,99.96,100,94.59,288.98,94.74,2676.35,94.91
2025-09-10,99.98,100,93.14,343.03,94.51,2114.54,94.45
2025-09-11,99.98,100,95.65,305.26,93.34,2366.4,96.33
2025-09-12,99.98,100,97.21,289.95,97.21,2322.88,97.81
2025-09-13,99.97,100,93.89,275.67,94.1,2152.15,93.98
2025-09-14,99.98,100,93.78,303.34,93.97,1852.71,93.88
2025-09-15,99.97,100,98.84,291.93,99.72,2538.59,99.19
2025-09-16,99.98,100,93.57,295.92,93.08,2165.11,98.35
2025-09-17,99.98,100,94.47,283.88,94.87,2386.58,93.8
2025-09-18,99.98,100,94.48,272.55,93.89,2305.29,93.5
2025-09-19,99.98,100,93.05,259.5,93.48,2783.81,93.27
2025-09-20,99.98,100,93.13,255.7,92.94,1934.86,93.23
2025-09-21,99.98,100,93.44,267.75,93.33,1875.49,94.18
2025-09-22,99.99,100,93.3,256.99,93.51,2344.62,94.5
2025-09-23,99.97,100,92.93,274.16,92.45,2035.51,92.47
2025-09-24,99.96,100,91.77,282.74,90.17,2143.26,92.09
2025-09-25,99.98,100,92.9,268.99,92.32,2223.1,93.1
2025-09-26,99.98,100,91.19,239.55,90.33,2270.56,90.7
2025-09-27,99.97,100,94.52,253.48,93.82,2232.08,94.06
2025-09-28,99.98,100,91.54,261.44,90.34,1934.86,91.5
2025-09-29,99.98,100,90.76,250.67,90.33,2064.17,91.25
2025-09-30,99.98,100,92.92,256.14,90.56,2770.97,92.57
